session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
h336x0vb,1,wr2fyedr,0,,InitializeParticipant,1693572661,1,0,0
h336x0vb,1,wr2fyedr,1,question2,Welcome,1693572663,1,0,0
h336x0vb,1,wr2fyedr,2,question2,Consent,1693572668,1,0,0
h336x0vb,1,wr2fyedr,3,question2,Instructions,1693572694,1,0,0
h336x0vb,1,wr2fyedr,4,question2,UnderstandingQuestions,1693572714,1,0,0
h336x0vb,1,wr2fyedr,5,question2,TransitionPractice,1693572731,1,0,0
h336x0vb,1,wr2fyedr,6,question2,Task,1693572795,1,0,0
h336x0vb,1,wr2fyedr,7,question2,TransitionDemandElicitation0,1693572807,1,0,0
h336x0vb,1,wr2fyedr,8,question2,TransitionDemandElicitation,1693572808,1,0,0
h336x0vb,1,wr2fyedr,9,question2,TransitionDemandElicitation2,1693572812,1,0,0
h336x0vb,1,wr2fyedr,10,question2,DemandElicitation,1693572820,1,0,0
h336x0vb,1,wr2fyedr,11,question2,TransitionUnincentivized,1693572825,1,0,0
h336x0vb,1,wr2fyedr,12,question2,UnincentivizedInstructions,1693572828,1,0,0
h336x0vb,1,wr2fyedr,13,question2,Unincentivized1,1693572834,1,0,0
h336x0vb,1,wr2fyedr,14,question2,Unincentivized2,1693572839,1,0,0
h336x0vb,1,wr2fyedr,15,question2,Unincentivized3,1693572842,1,0,0
h336x0vb,1,wr2fyedr,16,question2,Results,1693572848,1,0,0
h336x0vb,1,wr2fyedr,19,question2,Feedback,1693572856,1,0,0
h336x0vb,1,wr2fyedr,20,question2,Finished,1693572858,1,0,0
hrmt3433,1,53zo6xte,0,,InitializeParticipant,1693573069,1,0,0
hrmt3433,1,53zo6xte,1,question2,Welcome,1693573073,1,0,0
pfhn9h7j,1,ketqc5u9,0,,InitializeParticipant,1693574057,1,0,0
pfhn9h7j,1,ketqc5u9,1,question2,Welcome,1693574077,1,0,0
pfhn9h7j,1,ketqc5u9,2,question2,Consent,1693574126,1,0,0
pfhn9h7j,2,cubuzx00,0,,InitializeParticipant,1693574344,1,0,0
pfhn9h7j,2,cubuzx00,1,question2,Welcome,1693574354,1,0,0
pfhn9h7j,2,cubuzx00,2,question2,Consent,1693574376,1,0,0
pfhn9h7j,1,ketqc5u9,3,question2,Instructions,1693574386,1,0,0
pfhn9h7j,1,ketqc5u9,4,question2,UnderstandingQuestions,1693574529,1,0,0
pfhn9h7j,1,ketqc5u9,5,question2,TransitionPractice,1693574540,1,0,0
pfhn9h7j,2,cubuzx00,3,question2,Instructions,1693574595,1,0,0
pfhn9h7j,1,ketqc5u9,6,question2,Task,1693574632,1,0,0
pfhn9h7j,1,ketqc5u9,7,question2,TransitionDemandElicitation0,1693574657,1,0,0
pfhn9h7j,1,ketqc5u9,8,question2,TransitionDemandElicitation,1693574660,1,0,0
pfhn9h7j,2,cubuzx00,4,question2,UnderstandingQuestions,1693574665,1,0,0
pfhn9h7j,2,cubuzx00,5,question2,TransitionPractice,1693574672,1,0,0
pfhn9h7j,1,ketqc5u9,9,question2,TransitionDemandElicitation2,1693574693,1,0,0
pfhn9h7j,2,cubuzx00,6,question2,Task,1693574749,1,0,0
pfhn9h7j,2,cubuzx00,7,question2,TransitionDemandElicitation0,1693574763,1,0,0
pfhn9h7j,2,cubuzx00,8,question2,TransitionDemandElicitation,1693574769,1,0,0
pfhn9h7j,2,cubuzx00,9,question2,TransitionDemandElicitation2,1693574810,1,0,0
pfhn9h7j,1,ketqc5u9,10,question2,DemandElicitation,1693574846,1,0,0
pfhn9h7j,1,ketqc5u9,11,question2,TransitionUnincentivized,1693574881,1,0,0
pfhn9h7j,1,ketqc5u9,12,question2,UnincentivizedInstructions,1693574896,1,0,0
pfhn9h7j,2,cubuzx00,10,question2,DemandElicitation,1693574940,1,0,0
pfhn9h7j,2,cubuzx00,11,question2,TransitionUnincentivized,1693574961,1,0,0
pfhn9h7j,2,cubuzx00,12,question2,UnincentivizedInstructions,1693574970,1,0,0
pfhn9h7j,1,ketqc5u9,13,question2,Unincentivized1,1693574972,1,0,0
pfhn9h7j,2,cubuzx00,13,question2,Unincentivized1,1693575008,1,0,0
pfhn9h7j,1,ketqc5u9,14,question2,Unincentivized2,1693575012,1,0,0
pfhn9h7j,2,cubuzx00,14,question2,Unincentivized2,1693575039,1,0,0
pfhn9h7j,1,ketqc5u9,15,question2,Unincentivized3,1693575046,1,0,0
pfhn9h7j,2,cubuzx00,15,question2,Unincentivized3,1693575064,1,0,0
pfhn9h7j,2,cubuzx00,16,question2,Results,1693575073,1,0,0
pfhn9h7j,1,ketqc5u9,16,question2,Results,1693575109,1,0,0
pfhn9h7j,2,cubuzx00,19,question2,Feedback,1693575159,1,0,0
