session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
7nbkezrj,1,ollwny3u,0,,InitializeParticipant,1695908394,1,0,0
7nbkezrj,1,ollwny3u,1,pilot3,Welcome,1695908395,1,0,0
7nbkezrj,1,ollwny3u,2,pilot3,Consent,1695908399,1,0,0
yhmrq5m7,99,877ux33a,0,,InitializeParticipant,1695909046,1,0,0
yhmrq5m7,99,877ux33a,1,pilot3,Welcome,1695909047,1,0,0
xrvd5c2z,1,48u2xej6,0,,InitializeParticipant,1695910984,1,0,0
xrvd5c2z,1,48u2xej6,1,pilot3,Welcome,1695910991,1,0,0
xrvd5c2z,1,48u2xej6,2,pilot3,Consent,1695911005,1,0,0
xrvd5c2z,2,22rcdd2m,0,,InitializeParticipant,1695911069,1,0,0
xrvd5c2z,2,22rcdd2m,1,pilot3,Welcome,1695911076,1,0,0
xrvd5c2z,1,48u2xej6,3,pilot3,Instructions,1695911077,1,0,0
xrvd5c2z,2,22rcdd2m,2,pilot3,Consent,1695911089,1,0,0
xrvd5c2z,1,48u2xej6,4,pilot3,UnderstandingQuestions,1695911141,1,0,0
xrvd5c2z,1,48u2xej6,5,pilot3,TransitionDemandElicitation0,1695911143,1,0,0
xrvd5c2z,2,22rcdd2m,3,pilot3,Instructions,1695911177,1,0,0
xrvd5c2z,2,22rcdd2m,4,pilot3,UnderstandingQuestions,1695911233,1,0,0
xrvd5c2z,2,22rcdd2m,5,pilot3,TransitionDemandElicitation0,1695911234,1,0,0
xrvd5c2z,1,48u2xej6,6,pilot3,TaskActual,1695911256,1,0,0
xrvd5c2z,1,48u2xej6,7,pilot3,TransitionDemandElicitation,1695911264,1,0,0
xrvd5c2z,1,48u2xej6,8,pilot3,InstructionsPart2,1695911311,1,0,0
xrvd5c2z,1,48u2xej6,9,pilot3,UnderstandingQuestionsPart2,1695911326,1,0,0
xrvd5c2z,1,48u2xej6,10,pilot3,TransitionDemandElicitation3,1695911333,1,0,0
xrvd5c2z,3,qoembq1s,0,,InitializeParticipant,1695911340,1,0,0
xrvd5c2z,4,54rcejl7,0,,InitializeParticipant,1695911342,1,0,0
xrvd5c2z,4,54rcejl7,1,pilot3,Welcome,1695911348,1,0,0
xrvd5c2z,4,54rcejl7,2,pilot3,Consent,1695911352,1,0,0
xrvd5c2z,3,qoembq1s,1,pilot3,Welcome,1695911352,1,0,0
xrvd5c2z,3,qoembq1s,2,pilot3,Consent,1695911360,1,0,0
xrvd5c2z,1,48u2xej6,11,pilot3,DemandElicitation,1695911364,1,0,0
xrvd5c2z,1,48u2xej6,12,pilot3,TransitionUnincentivized,1695911368,1,0,0
xrvd5c2z,1,48u2xej6,13,pilot3,UnincentivizedInstructions,1695911375,1,0,0
xrvd5c2z,1,48u2xej6,14,pilot3,Unincentivized1,1695911396,1,0,0
xrvd5c2z,1,48u2xej6,15,pilot3,Unincentivized2,1695911422,1,0,0
xrvd5c2z,1,48u2xej6,16,pilot3,Unincentivized3,1695911437,1,0,0
xrvd5c2z,1,48u2xej6,17,pilot3,Results,1695911449,1,0,0
xrvd5c2z,3,qoembq1s,3,pilot3,Instructions,1695911454,1,0,0
xrvd5c2z,1,48u2xej6,20,pilot3,Feedback,1695911462,1,0,0
xrvd5c2z,4,54rcejl7,3,pilot3,Instructions,1695911462,1,0,0
xrvd5c2z,1,48u2xej6,21,pilot3,Finished,1695911464,1,0,0
xrvd5c2z,4,54rcejl7,4,pilot3,UnderstandingQuestions,1695911503,1,0,0
xrvd5c2z,4,54rcejl7,5,pilot3,TransitionDemandElicitation0,1695911506,1,0,0
xrvd5c2z,5,jjl471lm,0,,InitializeParticipant,1695911510,1,0,0
xrvd5c2z,5,jjl471lm,1,pilot3,Welcome,1695911526,1,0,0
